code;libelle
sas;sasak
sat;santal
scn;sicilien
sco;scots, écossais
sel;selkoupe
sem;langues sémitiques
sga;irlandais ancien (jusqu'à 900)
sgn;langue des signes
shn;shan
shp;Shipibo-conibo
sid;sidamo
sin;singhalais
sio;langues sioux
sit;langues sino-tibétaines
sla;langues slaves
slo;slovaque
slv;slovène
sma;sâme du Sud
sme;sâme du Nord
smi;langues sâmes
smj;sâme de Lule
smn;sâme d'Inari
smo;samoan
sms;sâme skolt
sna;shona
snd;sindhi
snk;soninké
sog;sogdien
som;somali
son;langues songhai
sot;sotho du Sud
spa;espagnol, castillan
srd;sarde
srn;sranan tongo
srp;serbe
srr;sérère
ssa;langues nilo-sahariennes
ssw;swati
suk;sukuma
sun;soundanais
sus;soussou
sux;sumérien
swa;swahili
swe;suédois
syc;syriaque classique
syr;syriaque
tah;tahitien
tai;langues tai
tam;tamoul
tat;tatar
tel;télougou
tem;timné
ter;téréno
tet;tétun
tgk;tadjik
tgl;tagalog
tha;thaï
tib;tibétain
tir;tigrigna
tig;tigré
tiv;tiv
tkl;tokélaouéen
tlh;klingon
tli;tlingit
tmh;tamacheq
tog;tonga (Nyasa)
ton;tongan (Îles Tonga)
tpi;tok pisin
tsi;tsimchiane
tsn;tswana
tso;tsonga
tuk;turkmène
tum;tumbuka
tup;langues tupi
tur;turc
tut;langues altaïques
tvl;touvalouéen
twi;tchi
tyv;touvain
udm;oudmourte
uga;ougaritique
uig;ouïgour
ukr;ukrainien
umb;umbundu
urd;ourdou
uzb;ouzbek
vai;vaï
ven;venda
vie;vietnamien
vol;volapük
vot;vote
wak;langues wakashennes
wal;wolaitta, wolaytta
war;waray
was;washo
wel;gallois
wen;langues sorabe
wln;wallon
wol;wolof
xal;kalmouk, oïrat
xho;xhosa
yao;yao
yap;yapois
yid;yiddish
yor;yorouba
ypk;langues yupik
zap;zapotèque
zbl;symboles Bliss, Bliss
zen;zénaga
zgh;amazighe standard marocain
zha;zhuang, chuang
znd;langues zandé
zul;zoulou
zun;zuñi
zxx;Pas de contenu linguistique, non applicable
